TypeName,BranchName,Buy,Sell,date
SJC,Đà Nẵng,131900.0,133400.0,2025-09-04 08:22:45
SJC,Đà Nẵng,131900.0,133400.0,2025-09-04 08:23:43
SJC,Đà Nẵng,131900.0,133900.0,2025-09-04 08:25:55
SJC,Đà Nẵng,132400.0,133900.0,2025-09-04 08:26:01
SJC,Miền Tây,131900.0,133400.0,2025-09-04 08:22:45
SJC,Miền Tây,131900.0,133400.0,2025-09-04 08:23:43
SJC,Miền Tây,131900.0,133900.0,2025-09-04 08:25:55
SJC,Miền Tây,132400.0,133900.0,2025-09-04 08:26:01
SJC,Tây Nguyên,131900.0,133400.0,2025-09-04 08:22:45
SJC,Tây Nguyên,131900.0,133400.0,2025-09-04 08:23:43
SJC,Tây Nguyên,131900.0,133900.0,2025-09-04 08:25:55
SJC,Tây Nguyên,132400.0,133900.0,2025-09-04 08:26:01
SJC,Đông Nam Bộ,131900.0,133400.0,2025-09-04 08:22:45
SJC,Đông Nam Bộ,131900.0,133400.0,2025-09-04 08:23:43
SJC,Đông Nam Bộ,131900.0,133900.0,2025-09-04 08:25:55
SJC,Đông Nam Bộ,132400.0,133900.0,2025-09-04 08:26:01
SJC,TPHCM,132400.0,133900.0,2025-09-05 08:06:12
SJC,TPHCM,132400.0,134400.0,2025-09-05 08:34:39
SJC,TPHCM,132900.0,134400.0,2025-09-05 08:34:42
SJC,Hà Nội,132400.0,133900.0,2025-09-05 08:06:12
SJC,Hà Nội,132400.0,134400.0,2025-09-05 08:34:39
SJC,Hà Nội,132900.0,134400.0,2025-09-05 08:34:42
SJC,Đà Nẵng,132400.0,133900.0,2025-09-05 08:06:12
SJC,Đà Nẵng,132400.0,134400.0,2025-09-05 08:34:39
SJC,Đà Nẵng,132900.0,134400.0,2025-09-05 08:34:42
SJC,Miền Tây,132400.0,133900.0,2025-09-05 08:06:12
SJC,Miền Tây,132400.0,134400.0,2025-09-05 08:34:39
SJC,Miền Tây,132900.0,134400.0,2025-09-05 08:34:42
SJC,Tây Nguyên,132400.0,133900.0,2025-09-05 08:06:12
SJC,Tây Nguyên,132400.0,134400.0,2025-09-05 08:34:39
SJC,Tây Nguyên,132900.0,134400.0,2025-09-05 08:34:42
SJC,Đông Nam Bộ,132400.0,133900.0,2025-09-05 08:06:12
SJC,Đông Nam Bộ,132400.0,134400.0,2025-09-05 08:34:39
SJC,Đông Nam Bộ,132900.0,134400.0,2025-09-05 08:34:42
SJC,TPHCM,132900.0,134400.0,2025-09-06 08:11:02
SJC,TPHCM,132900.0,134400.0,2025-09-06 08:12:01
SJC,TPHCM,132900.0,135400.0,2025-09-06 08:32:45
SJC,TPHCM,133900.0,135400.0,2025-09-06 08:32:48
SJC,Hà Nội,132900.0,134400.0,2025-09-06 08:11:02
SJC,Hà Nội,132900.0,134400.0,2025-09-06 08:12:01
SJC,Hà Nội,132900.0,135400.0,2025-09-06 08:32:45
SJC,Hà Nội,133900.0,135400.0,2025-09-06 08:32:48
SJC,Đà Nẵng,132900.0,134400.0,2025-09-06 08:11:02
SJC,Đà Nẵng,132900.0,134400.0,2025-09-06 08:12:01
SJC,Đà Nẵng,132900.0,135400.0,2025-09-06 08:32:45
SJC,Đà Nẵng,133900.0,135400.0,2025-09-06 08:32:48
SJC,Miền Tây,132900.0,134400.0,2025-09-06 08:11:02
SJC,Miền Tây,132900.0,134400.0,2025-09-06 08:12:01
SJC,Miền Tây,132900.0,135400.0,2025-09-06 08:32:45
SJC,Miền Tây,133900.0,135400.0,2025-09-06 08:32:48
SJC,Tây Nguyên,132900.0,134400.0,2025-09-06 08:11:02
SJC,Tây Nguyên,132900.0,134400.0,2025-09-06 08:12:01
SJC,Tây Nguyên,132900.0,135400.0,2025-09-06 08:32:45
SJC,Tây Nguyên,133900.0,135400.0,2025-09-06 08:32:48
SJC,Đông Nam Bộ,132900.0,134400.0,2025-09-06 08:11:02
SJC,Đông Nam Bộ,132900.0,134400.0,2025-09-06 08:12:01
SJC,Đông Nam Bộ,132900.0,135400.0,2025-09-06 08:32:45
SJC,Đông Nam Bộ,133900.0,135400.0,2025-09-06 08:32:48
SJC,TPHCM,133900.0,135400.0,2025-09-08 08:16:04
SJC,TPHCM,133900.0,135400.0,2025-09-08 08:17:43
SJC,TPHCM,133900.0,135100.0,2025-09-08 08:33:39
SJC,TPHCM,133100.0,135100.0,2025-09-08 08:33:42
SJC,Hà Nội,133900.0,135400.0,2025-09-08 08:16:04
SJC,Hà Nội,133900.0,135400.0,2025-09-08 08:17:43
SJC,Hà Nội,133900.0,135100.0,2025-09-08 08:33:39
SJC,Hà Nội,133100.0,135100.0,2025-09-08 08:33:42
SJC,Đà Nẵng,133900.0,135400.0,2025-09-08 08:16:04
SJC,Đà Nẵng,133900.0,135400.0,2025-09-08 08:17:43
SJC,Đà Nẵng,133900.0,135100.0,2025-09-08 08:33:39
SJC,Đà Nẵng,133100.0,135100.0,2025-09-08 08:33:42
SJC,Miền Tây,133900.0,135400.0,2025-09-08 08:16:04
SJC,Miền Tây,133900.0,135400.0,2025-09-08 08:17:43
SJC,Miền Tây,133900.0,135100.0,2025-09-08 08:33:39
SJC,Miền Tây,133100.0,135100.0,2025-09-08 08:33:42
SJC,Tây Nguyên,133900.0,135400.0,2025-09-08 08:16:04
SJC,Tây Nguyên,133900.0,135400.0,2025-09-08 08:17:43
SJC,Tây Nguyên,133900.0,135100.0,2025-09-08 08:33:39
SJC,Tây Nguyên,133100.0,135100.0,2025-09-08 08:33:42
SJC,Đông Nam Bộ,133900.0,135400.0,2025-09-08 08:16:04
SJC,Đông Nam Bộ,133900.0,135400.0,2025-09-08 08:17:43
SJC,Đông Nam Bộ,133900.0,135100.0,2025-09-08 08:33:39
SJC,Đông Nam Bộ,133100.0,135100.0,2025-09-08 08:33:42
SJC,TPHCM,133100.0,135100.0,2025-09-09 08:15:44
SJC,TPHCM,133800.0,135100.0,2025-09-09 08:17:05
SJC,TPHCM,133800.0,135800.0,2025-09-09 08:17:11
SJC,Hà Nội,133100.0,135100.0,2025-09-09 08:15:44
SJC,Hà Nội,133800.0,135100.0,2025-09-09 08:17:05
SJC,Hà Nội,133800.0,135800.0,2025-09-09 08:17:11
SJC,Đà Nẵng,133100.0,135100.0,2025-09-09 08:15:44
SJC,Đà Nẵng,133800.0,135100.0,2025-09-09 08:17:05
SJC,Đà Nẵng,133800.0,135800.0,2025-09-09 08:17:11
SJC,Miền Tây,133100.0,135100.0,2025-09-09 08:15:44
SJC,Miền Tây,133800.0,135100.0,2025-09-09 08:17:05
SJC,Miền Tây,133800.0,135800.0,2025-09-09 08:17:11
SJC,Tây Nguyên,133100.0,135100.0,2025-09-09 08:15:44
SJC,Tây Nguyên,133800.0,135100.0,2025-09-09 08:17:05
SJC,Tây Nguyên,133800.0,135800.0,2025-09-09 08:17:11
SJC,Đông Nam Bộ,133100.0,135100.0,2025-09-09 08:15:44
SJC,Đông Nam Bộ,133800.0,135100.0,2025-09-09 08:17:05
SJC,Đông Nam Bộ,133800.0,135800.0,2025-09-09 08:17:11
SJC,TPHCM,133800.0,135800.0,2025-09-10 08:21:15
SJC,TPHCM,133800.0,135800.0,2025-09-10 08:21:45
SJC,TPHCM,133800.0,135300.0,2025-09-10 08:25:27
SJC,TPHCM,133300.0,135300.0,2025-09-10 08:25:31
SJC,Hà Nội,133800.0,135800.0,2025-09-10 08:21:15
SJC,Hà Nội,133800.0,135800.0,2025-09-10 08:21:45
SJC,Hà Nội,133800.0,135300.0,2025-09-10 08:25:27
SJC,Hà Nội,133300.0,135300.0,2025-09-10 08:25:31
SJC,Đà Nẵng,133800.0,135800.0,2025-09-10 08:21:15
SJC,Đà Nẵng,133800.0,135800.0,2025-09-10 08:21:45
SJC,Đà Nẵng,133800.0,135300.0,2025-09-10 08:25:27
SJC,Đà Nẵng,133300.0,135300.0,2025-09-10 08:25:31
SJC,Miền Tây,133800.0,135800.0,2025-09-10 08:21:15
SJC,Miền Tây,133800.0,135800.0,2025-09-10 08:21:45
SJC,Miền Tây,133800.0,135300.0,2025-09-10 08:25:27
SJC,Miền Tây,133300.0,135300.0,2025-09-10 08:25:31
SJC,Tây Nguyên,133800.0,135800.0,2025-09-10 08:21:15
SJC,Tây Nguyên,133800.0,135800.0,2025-09-10 08:21:45
SJC,Tây Nguyên,133800.0,135300.0,2025-09-10 08:25:27
SJC,Tây Nguyên,133300.0,135300.0,2025-09-10 08:25:31
SJC,Đông Nam Bộ,133800.0,135800.0,2025-09-10 08:21:15
SJC,Đông Nam Bộ,133800.0,135800.0,2025-09-10 08:21:45
SJC,Đông Nam Bộ,133800.0,135300.0,2025-09-10 08:25:27
SJC,Đông Nam Bộ,133300.0,135300.0,2025-09-10 08:25:31
SJC,TPHCM,133300.0,135300.0,2025-09-11 08:15:32
SJC,TPHCM,133300.0,135300.0,2025-09-11 08:15:35
SJC,TPHCM,133300.0,135000.0,2025-09-11 10:30:16
SJC,TPHCM,133000.0,135000.0,2025-09-11 10:30:19
SJC,TPHCM,132500.0,135000.0,2025-09-11 10:42:40
SJC,TPHCM,132300.0,135000.0,2025-09-11 10:46:03
SJC,TPHCM,132300.0,134800.0,2025-09-11 10:46:08
SJC,TPHCM,131300.0,134800.0,2025-09-11 13:12:43
SJC,TPHCM,131300.0,134300.0,2025-09-11 13:12:47
SJC,TPHCM,130900.0,134300.0,2025-09-11 15:01:32
SJC,TPHCM,130900.0,133900.0,2025-09-11 15:02:56
SJC,TPHCM,130500.0,133900.0,2025-09-11 16:16:05
SJC,TPHCM,130500.0,133500.0,2025-09-11 16:16:08
SJC,TPHCM,130300.0,133500.0,2025-09-11 16:41:14
SJC,TPHCM,130300.0,133300.0,2025-09-11 16:41:17
SJC,Hà Nội,133300.0,135300.0,2025-09-11 08:15:32
SJC,Hà Nội,133300.0,135300.0,2025-09-11 08:15:35
SJC,Hà Nội,133300.0,135000.0,2025-09-11 10:30:16
SJC,Hà Nội,133000.0,135000.0,2025-09-11 10:30:19
SJC,Hà Nội,132500.0,135000.0,2025-09-11 10:42:40
SJC,Hà Nội,132300.0,135000.0,2025-09-11 10:46:03
SJC,Hà Nội,132300.0,134800.0,2025-09-11 10:46:08
SJC,Hà Nội,131300.0,134800.0,2025-09-11 13:12:43
SJC,Hà Nội,131300.0,134300.0,2025-09-11 13:12:47
SJC,Hà Nội,130900.0,134300.0,2025-09-11 15:01:32
SJC,Hà Nội,130900.0,133900.0,2025-09-11 15:02:56
SJC,Hà Nội,130500.0,133900.0,2025-09-11 16:16:05
SJC,Hà Nội,130500.0,133500.0,2025-09-11 16:16:08
SJC,Hà Nội,130300.0,133500.0,2025-09-11 16:41:14
SJC,Hà Nội,130300.0,133300.0,2025-09-11 16:41:17
SJC,Đà Nẵng,133300.0,135300.0,2025-09-11 08:15:32
SJC,Đà Nẵng,133300.0,135300.0,2025-09-11 08:15:35
SJC,Đà Nẵng,133300.0,135000.0,2025-09-11 10:30:16
SJC,Đà Nẵng,133000.0,135000.0,2025-09-11 10:30:19
SJC,Đà Nẵng,132500.0,135000.0,2025-09-11 10:42:40
SJC,Đà Nẵng,132300.0,135000.0,2025-09-11 10:46:03
SJC,Đà Nẵng,132300.0,134800.0,2025-09-11 10:46:08
SJC,Đà Nẵng,131300.0,134800.0,2025-09-11 13:12:43
SJC,Đà Nẵng,131300.0,134300.0,2025-09-11 13:12:47
SJC,Đà Nẵng,130900.0,134300.0,2025-09-11 15:01:32
SJC,Đà Nẵng,130900.0,133900.0,2025-09-11 15:02:56
SJC,Đà Nẵng,130500.0,133900.0,2025-09-11 16:16:05
SJC,Đà Nẵng,130500.0,133500.0,2025-09-11 16:16:08
SJC,Đà Nẵng,130300.0,133500.0,2025-09-11 16:41:14
SJC,Đà Nẵng,130300.0,133300.0,2025-09-11 16:41:17
SJC,Miền Tây,133300.0,135300.0,2025-09-11 08:15:32
SJC,Miền Tây,133300.0,135300.0,2025-09-11 08:15:35
SJC,Miền Tây,133300.0,135000.0,2025-09-11 10:30:16
SJC,Miền Tây,133000.0,135000.0,2025-09-11 10:30:19
SJC,Miền Tây,132500.0,135000.0,2025-09-11 10:42:40
SJC,Miền Tây,132300.0,135000.0,2025-09-11 10:46:03
SJC,Miền Tây,132300.0,134800.0,2025-09-11 10:46:08
SJC,Miền Tây,131300.0,134800.0,2025-09-11 13:12:43
